,First Name,Last Name,Weekly Pay,Biweekly Pay,Monthly Pay,Yearly Pay
0,Aundrea,Maryanna,669.4230769230769,1338.8461538461538,2900.8333333333335,34810.0
1,Vernell,Coralie,2494.0,4988.0,10807.333333333334,129688.0
2,Rossana,Holley,1607.5576923076924,3215.1153846153848,6966.083333333333,83593.0
3,Rachell,Nickie,1958.25,3916.5,8485.75,101829.0
4,Kallie,Jaimie,777.0576923076923,1554.1153846153845,3367.25,40407.0
5,Maxima,Verna,1134.4807692307693,2268.9615384615386,4916.083333333333,58993.0
6,Sally,Bula,2690.8653846153848,5381.7307692307695,11660.416666666666,139925.0
7,Amiee,Joane,1867.5961538461538,3735.1923076923076,8092.916666666667,97115.0
8,Lurlene,Daniel,814.4615384615385,1628.923076923077,3529.3333333333335,42352.0
9,France,Ema,1658.0192307692307,3316.0384615384614,7184.75,86217.0
10,Cher,Milan,1563.7307692307693,3127.4615384615386,6776.166666666667,81314.0
11,Jeniffer,Miranda,1666.9038461538462,3333.8076923076924,7223.25,86679.0
12,Nubia,Ellamae,2549.230769230769,5098.461538461538,11046.666666666666,132560.0
13,Tamesha,Kaitlyn,1136.8846153846155,2273.769230769231,4926.5,59118.0
14,Launa,Nerissa,1025.5576923076924,2051.1153846153848,4444.083333333333,53329.0
15,Lavonna,Caitlin,2379.8076923076924,4759.615384615385,10312.5,123750.0
16,Dulce,Ka,2739.7884615384614,5479.576923076923,11872.416666666666,142469.0
17,Cecila,Fonda,1883.3846153846155,3766.769230769231,8161.333333333333,97936.0
18,Anita,Cristina,1352.3846153846155,2704.769230769231,5860.333333333333,70324.0
19,Damien,Kaitlin,1877.5384615384614,3755.076923076923,8136.0,97632.0
20,Cornelius,Arminda,2186.423076923077,4372.846153846154,9474.5,113694.0
21,Shawn,Fredia,2194.3653846153848,4388.7307692307695,9508.916666666666,114107.0
22,Lucila,Cami,1282.6538461538462,2565.3076923076924,5558.166666666667,66698.0
23,Nicolasa,Nicole,1778.9423076923076,3557.8846153846152,7708.75,92505.0
24,Sylvia,Ivonne,1676.4807692307693,3352.9615384615386,7264.75,87177.0
25,Nadene,Shayne,2728.6923076923076,5457.384615384615,11824.333333333334,141892.0
26,Beula,Mackenzie,2453.6923076923076,4907.384615384615,10632.666666666666,127592.0
27,Candra,Glynis,926.0961538461538,1852.1923076923076,4013.0833333333335,48157.0
28,Sandy,Angelena,2064.1153846153848,4128.2307692307695,8944.5,107334.0
29,Shay,Karole,952.75,1905.5,4128.583333333333,49543.0
30,Karlene,Tianna,2239.153846153846,4478.307692307692,9703.0,116436.0
31,Phyllis,Kandy,1813.5,3627.0,7858.5,94302.0
